Body_size,Wing_size,Body_R,Body_G,Body_B,Wing_R,Wing_G,Wing_B
39.6,34.1,213.1,271.1,199.5,184.6,219.2,135.6
39.6,34.1,253.9,182.9,154.2,146.2,178.7,148.5
39.6,34.1,209.0,275.1,221.2,159.0,149.2,195.8
39.6,34.1,270.4,209.8,160.3,195.4,190.5,174.8
39.6,34.1,219.4,207.5,242.0,169.9,176.9,168.9
39.6,34.1,225.2,182.0,190.6,181.6,164.9,194.7
39.6,34.1,246.1,219.4,184.9,181.9,135.2,180.4
39.6,34.1,254.9,255.4,225.8,134.6,154.9,179.8
39.6,34.1,211.1,247.5,209.9,166.7,172.0,168.3
39.6,34.1,222.6,187.4,226.6,129.1,146.7,201.0
39.6,34.1,219.0,195.4,195.4,152.4,183.3,171.0
39.6,34.1,211.5,190.4,212.7,176.5,161.0,180.6
39.6,34.1,236.5,181.5,255.4,179.5,199.9,174.0
39.6,34.1,224.7,242.3,190.3,170.8,193.1,182.5
39.6,34.1,276.7,193.6,214.3,152.0,148.4,193.6
39.6,34.1,235.3,197.2,266.7,127.8,199.4,209.5
39.6,34.1,247.0,221.9,220.7,227.4,140.1,187.3
39.6,34.1,198.5,206.5,204.1,196.6,175.4,169.6
39.6,34.1,246.2,211.2,234.4,163.9,160.6,165.5
39.6,34.1,237.9,248.4,235.6,123.0,205.1,203.5
39.6,34.1,264.6,193.3,226.1,185.7,198.2,168.5
39.6,34.1,243.5,208.3,211.1,163.7,170.2,133.4
39.6,34.1,271.9,255.0,268.9,202.1,177.9,154.9
39.6,34.1,190.1,172.3,200.1,150.0,184.7,192.0
39.6,34.1,254.2,223.2,221.1,170.6,193.4,149.0
39.6,34.1,221.5,151.9,234.2,155.9,187.2,191.3
39.6,34.1,251.0,225.5,207.3,191.4,137.1,171.7
39.6,34.1,235.1,211.4,223.5,179.5,154.2,184.3
39.6,34.1,233.3,224.5,195.9,187.4,181.4,179.3
39.6,34.1,233.4,230.3,241.9,144.0,156.7,156.1
39.6,34.1,235.1,257.2,203.4,186.9,190.9,160.4
39.6,34.1,241.7,197.1,215.0,147.1,134.3,167.9
39.6,34.1,231.2,206.8,197.2,101.1,125.7,175.5
39.6,34.1,217.7,240.8,244.3,146.5,193.9,182.4
39.6,34.1,246.4,231.2,185.0,155.9,186.7,141.0
39.6,34.1,250.4,223.5,188.6,143.8,131.6,188.1
39.6,34.1,230.9,209.3,177.9,182.8,174.0,174.1
39.6,34.1,253.4,228.3,191.0,161.0,214.7,157.4
39.6,34.1,193.8,229.5,212.0,173.6,149.6,176.5
39.6,34.1,261.0,165.2,223.5,123.2,139.4,189.9
39.6,34.1,208.6,217.2,245.6,138.3,178.4,170.7
39.6,34.1,178.7,282.3,244.6,190.2,127.3,154.2
39.6,34.1,239.3,271.2,182.3,139.2,146.0,165.1
39.6,34.1,225.0,246.2,197.6,159.2,152.6,216.5
39.6,34.1,245.2,177.8,233.3,148.4,184.2,206.7
